song_id,platform_id,released_year,language,number_of_comments
1,R2767052,2008,eng,155254
2,S3,1997,eng,75867
3,U41865,2005,en-US,95009
4,W2657,1960,eng,72586
5,Q4671,1925,eng,51992
6,U11870085,2012,eng,140739
7,W5907,1937,en-US,37653
8,W5107,1951,eng,44920
9,P960,2000,en-CA,25112
10,U1885,1813,eng,49152
11,S77203,2003,eng,59730
12,W13335037,2011,eng,101023
13,P5470,1949,eng,45518
14,S7613,1945,eng,35472
15,U48855,1947,eng,20825
16,U2429135,2005,eng,62543
17,X6148028,2009,eng,88538
18,U5,1999,eng,36099
19,T34,1954,eng,15333
20,X7260188,2010,eng,96274
21,R2,2003,eng,28685
22,X12232938,2002,eng,36642
23,Q15881,1998,eng,34172
24,V6,2000,eng,31084
25,Q136251,2007,eng,51942
26,X968,2003,eng,41560
27,Q1,2005,eng,27520
28,T7624,1954,eng,26886
29,U18135,1595,eng,14778
30,W8442457,2012,eng,121614
31,T4667024,2009,eng,78204
32,P890,1937,eng,24642
33,P930,1997,eng,25605
34,S10818853,2011,eng,75437
35,U865,1988,eng,55781
36,V3636,1993,eng,54084
37,U100915,1950,eng,15186
38,P14050,2003,eng,43382
39,V13496,1996,eng,46205
40,Q19501,2006,eng,49714
41,W28187,2005,eng,46006
42,T1934,1868,en-US,17090
43,P10210,1847,eng,31212
44,Q15931,1996,eng,17279
45,T4214,2001,,42962
46,Q43641,2006,eng,55732
47,S19063,2005,eng,93611
48,Q4381,1953,spa,30694
49,Q49041,2006,eng,44020
50,Y30119,1974,eng,9234
51,S256683,2007,eng,51589
52,S428263,2007,en-US,35216
53,V113436,2002,en-US,18280
54,Q11,1979,en-US,20345
55,Y5129,1932,eng,20095
56,S1162543,2008,en-US,44550
57,U37435,2001,en-US,26522
58,V2956,1884,eng,12448
59,X24178,1952,eng,13044
60,X1618,2003,eng,35796
61,R22557272,2015,eng,93600
62,R119322,1995,eng,14915
63,U6185,1847,eng,26157
64,W10917,2004,eng,30719
65,Q4981,1969,eng,19646
66,U18405,1936,eng,16050
67,Y128029,2007,eng,43645
68,X22628,1999,eng,47116
69,S11735983,2012,eng,55873
70,R375802,1985,eng,38054
71,P18490,1818,eng,19993
72,X11588,1977,eng,14936
73,Q1656001,2008,en-US,39778
74,Q99561,2005,eng,47128
75,S227443,1996,eng,8157
76,U14935,1811,eng,11526
77,Y38709,1998,eng,15832
78,Y5139,2003,eng,8024
79,Q1381,-720,eng,8101
80,S157993,1946,eng,24537
81,U7445,2005,eng,40777
82,U1845,1996,eng,17299
83,S1953,1859,eng,13093
84,W7677,1990,spa,8143
85,S370493,1964,eng,14368
86,R32542,1989,eng,4239
87,W1617,1958,eng,22001
88,Y6442769,2008,en-US,42717
89,W21787,1973,en-US,15630
90,T231804,1967,en-US,22662
91,W6186357,2009,eng,48942
92,R1202,2005,en-US,13668
93,X2998,1911,eng,13054
94,P320,1967,eng,21671
95,W5297,1891,eng,19647
96,P13536860,2012,eng,25287
97,U17245,1897,eng,17263
98,X5060378,2006,eng,31423
99,X11857408,2011,eng,28052
100,T7244,1998,eng,19941
101,W4137,2000,eng,14982
102,S19543,1963,eng,9102
103,V7126,1844,eng,15925
104,X6288,2006,eng,38980
105,P18710190,2013,eng,62536
106,W9418327,2011,eng,35142
107,S3473,1999,en-US,11071
108,V9416,2000,eng,11170
109,P24280,1862,eng,12505
110,R10572,1998,eng,20325
111,Q10441,2005,eng,18027
112,X15507958,2012,eng,71412
113,X168668,1961,en-US,13734
114,P6900,1997,eng,19272
115,W2187,2002,en-US,20880
116,S24583,1876,eng,7165
117,Q18131,1962,en-US,19413
118,S7763,1989,eng,6708
119,W38447,1985,eng,35925
120,V452306,2001,eng,6477
121,T7604,1955,eng,18107
122,R37442,1995,eng,22926
123,X5358,1991,eng,3139
124,S7937843,2010,eng,42254
125,P1420,1600,eng,8889
126,U234225,1965,eng,13239
127,R2612,2000,eng,10895
128,U11084145,2011,eng,15198
129,S332613,1962,eng,7855
130,U2165,1952,eng,16716
131,U4395,1939,eng,12991
132,Q3431,2003,,16682
133,W8127,1908,eng,14041
134,R3777732,2009,en-US,22736
135,Q62291,2000,eng,19497
136,Q137791,1996,en-US,3867
137,T10964,1991,eng,36707
138,V12296,1850,eng,11428
139,W9460487,2011,en-US,53569
140,P6892870,2007,en-US,26766
141,T18007564,2012,eng,61298
142,S5043,1989,eng,26283
143,W18143977,2014,eng,53413
144,S8664353,2010,eng,41572
145,V976,2001,eng,7798
146,S17333223,2013,eng,44631
147,P1217100,2007,eng,43467
148,U2865,1999,eng,8011
149,P4374400,2009,en-US,34959
150,Y4989,1997,en-US,17234
151,V28186,2006,eng,20097
152,V5526,2006,en-US,10626
153,V1582996,2008,eng,23643
154,R8852,1606,eng,7609
155,Q15241,1954,en-US,6980
156,V42156,2004,eng,11567
157,R23772,1960,en-US,7370
158,P6310,1964,eng,8473
159,R2120932,2008,eng,14098
160,S2623,1860,eng,12311
161,R18512,1955,en-US,6644
162,R49552,1942,eng,14836
163,R7736182,2010,eng,17107
164,S15745753,2013,eng,53005
165,W13497,2005,en-US,18876
166,S7735333,2010,eng,30226
167,W4407,2001,eng,27587
168,W149267,1978,en-US,13808
169,P6400090,2008,en-GB,11051
170,U11125,1998,en-GB,7538
171,Y6969,1815,eng,11724
172,P15823480,1877,eng,18064
173,S227463,1962,eng,9958
174,W1812457,2007,eng,29377
175,W4502507,2009,eng,17693
176,R18342,1986,en-US,11698
177,T7144,1866,eng,12605
178,T6514,1963,en-US,15963
179,W252577,1996,eng,9798
180,V52036,1922,eng,11518
181,R168642,1965,eng,11754
182,U6304335,2009,eng,20808
183,W7171637,2010,eng,24385
184,X39988,1988,eng,11053
185,Y9361589,2011,eng,54008
186,P37470,2001,eng,15846
187,P24770,2005,eng,21234
188,S10664113,2011,eng,20072
189,S33,1955,eng,9365
190,Q12262741,2012,eng,34444
191,Q472331,1987,en-US,10851
192,T186074,2007,eng,28631
193,W3228917,2008,en-US,19383
194,W153747,1851,eng,11223
195,W2728527,2008,eng,39853
196,Y5759,1996,eng,11176
197,R301082,2001,en-US,16818
198,V11486,1982,eng,9485
199,Q12691,2005,eng,13407
200,Y16299,1939,eng,17264
201,Q6411961,2009,eng,24199
202,T6339664,2009,en-US,21871
203,W11505797,2011,eng,25298
204,V5326,1843,,11568
205,S43763,1976,eng,7951
206,S10507293,2012,en-US,35681
207,S6853,1994,en-US,13050
208,X6493208,2010,eng,28624
209,W23807,1988,eng,3866
210,W345627,2007,en-US,19720
211,R40102,2005,en-US,12215
212,W6867,2001,eng,14815
213,T485894,1915,eng,10252
214,V561456,2007,eng,15418
215,Q9969571,2011,eng,52120
216,P3153910,2006,eng,32021
217,V21996,2003,eng,25846
218,Y13572249,2012,eng,16748
219,W11127,1956,eng,8871
220,P3609760,,en-US,532
221,X60748,1995,eng,13729
222,Y7869,1980,eng,3899
223,W249747,2001,eng,8384
224,X6487308,2009,en-US,17725
225,V4406,1952,eng,14454
226,Q5886881,2009,eng,28784
227,Y5359,1993,eng,1917
228,S228333,2002,eng,5121
229,S24213,1865,eng,7736
230,V2156,1817,eng,13117
231,R556602,2007,eng,26614
232,U43615,1982,en-US,13014
233,R9712,1985,eng,15246
234,X439288,1999,eng,18379
